index,metric,horizon,Vanilla,Autoformer,Informer,Reformer
VN30_INDEX,QLIKE,21,0.073433764,0.087215446,0.110728025,0.06826765
VN_INDEX,MAE,1,0.4334296,0.38693112,0.49740788,0.48271242
VN_INDEX,MAE,3,0.44236112,0.4030068,0.47292227,0.48365825
VN_INDEX,MAE,5,0.4458216,0.37023178,0.4373308,0.45669636
VN_INDEX,MAE,10,0.40895918,0.36953333,0.4430218,0.48386323
VN_INDEX,MAE,21,0.37215495,0.3429458,0.40046147,0.41412893
VN_INDEX,MSE,1,0.28708017,0.216451,0.37536225,0.3583391
VN_INDEX,MSE,3,0.29331848,0.23080958,0.34322417,0.37569952
VN_INDEX,MSE,5,0.29260606,0.21154998,0.2979071,0.3205261
VN_INDEX,MSE,10,0.2576836,0.20685308,0.30168715,0.35463378
VN_INDEX,MSE,21,0.22439627,0.1863534,0.25424996,0.25727794
VN_INDEX,QLIKE,1,0.11862077,0.08399779,0.19292323,0.13698548
VN_INDEX,QLIKE,3,0.11866897,0.08580189,0.16339464,0.13915598
VN_INDEX,QLIKE,5,0.13276576,0.08831083,0.13147876,0.12430254
VN_INDEX,QLIKE,10,0.11250462,0.083374746,0.12739728,0.15806445
VN_INDEX,QLIKE,21,0.09171528,0.07702927,0.10592594,0.10822317
snp500,MAE,1,0.3808007,0.3297248,0.40412328,0.38100263
snp500,MAE,3,0.3567365,0.32830006,0.39433873,0.36941692
snp500,MAE,5,0.3415324,0.3261378,0.37975,0.36926702
snp500,MAE,10,0.33683014,0.32111672,0.3593181,0.33518967
snp500,MAE,21,0.3112094,0.31029543,0.3174086,0.31498972
snp500,MSE,1,0.2892654,0.24738188,0.30323225,0.28200802
snp500,MSE,3,0.25475115,0.246953,0.28273243,0.2666137
snp500,MSE,5,0.23527992,0.24475628,0.2725673,0.26814735
snp500,MSE,10,0.23945427,0.24013267,0.24107102,0.23477407
snp500,MSE,21,0.21202536,0.22986686,0.19201057,0.21825726
snp500,QLIKE,1,0.15835929,0.119556576,0.17125422,0.15656205
snp500,QLIKE,3,0.1282376,0.119816706,0.14244993,0.14187703
snp500,QLIKE,5,0.11343602,0.11860004,0.14038594,0.14897059
snp500,QLIKE,10,0.120870866,0.116335645,0.117285036,0.12072752
snp500,QLIKE,21,0.101960085,0.11143266,0.08831891,0.11226982
EuroNext_100,MAE,1,0.22765592,0.27535933,0.293002,0.26024795
EuroNext_100,MAE,3,0.26123288,0.26625767,0.31127155,0.27335364
EuroNext_100,MAE,5,0.25832227,0.24481381,0.2860073,0.29758316
EuroNext_100,MAE,10,0.21297038,0.23399943,0.2883622,0.25906113
EuroNext_100,MAE,21,0.2348383,0.22164802,0.24752446,0.25606105
EuroNext_100,MSE,1,0.09474054,0.13819025,0.14200233,0.09267874
EuroNext_100,MSE,3,0.093929276,0.12880225,0.14475676,0.09854902
EuroNext_100,MSE,5,0.09334711,0.107030295,0.12794259,0.112339884
EuroNext_100,MSE,10,0.080771185,0.09242288,0.12019728,0.09056215
EuroNext_100,MSE,21,0.08019873,0.080866806,0.09016714,0.0883793
EuroNext_100,QLIKE,1,0.060902126,0.08327654,0.09404081,0.054138403
EuroNext_100,QLIKE,3,0.054747812,0.07515444,0.08134009,0.057123158
EuroNext_100,QLIKE,5,0.05451073,0.06491683,0.08053253,0.063398995
EuroNext_100,QLIKE,10,0.05049709,0.057306733,0.06780047,0.053622007
EuroNext_100,QLIKE,21,0.048641685,0.049107727,0.054269984,0.05279206
Nikkei_225,MAE,1,0.34553233,0.34715822,0.37415537,0.38643396
Nikkei_225,MAE,3,0.34005806,0.34686318,0.3601146,0.38911974
Nikkei_225,MAE,5,0.3430767,0.34142563,0.37386596,0.3826267
Nikkei_225,MAE,10,0.3015265,0.3133135,0.34405845,0.35669488
Nikkei_225,MAE,21,0.31655604,0.3140944,0.35761213,0.31709394
Nikkei_225,MSE,1,0.28715616,0.28369507,0.30403927,0.28732207
Nikkei_225,MSE,3,0.27435446,0.25785643,0.37176242,0.31140533
Nikkei_225,MSE,5,0.27164978,0.26674744,0.30566314,0.29371634
Nikkei_225,MSE,10,0.20878278,0.2589514,0.27617118,0.25195828
Nikkei_225,MSE,21,0.24264015,0.22312264,0.2701903,0.23833452
Nikkei_225,QLIKE,1,0.084956564,0.0776562,0.083386205,0.0735941
Nikkei_225,QLIKE,3,0.07966414,0.06569932,0.14522012,0.085029125
Nikkei_225,QLIKE,5,0.080843754,0.07158345,0.087248944,0.0784269
Nikkei_225,QLIKE,10,0.0525148,0.06871702,0.07795069,0.06464379
Nikkei_225,QLIKE,21,0.06367789,0.05434258,0.08013376,0.06213408
