Dataset,Seed,Horizon,Model,MAE,MSE,QLIKE,Violation_Rate,Kupiec_LR,Kupiec_p,LR_Ind,N_eval,Seq_len
Nikkei_225,42,1,GARCH,20.581814532275068,1287.1127680256645,10.621641210359922,0.0,,,,981,60
Nikkei_225,42,3,GARCH,20.606643070419995,1287.9133092631828,10.623107379428518,0.0,,,,981,60
Nikkei_225,42,5,GARCH,20.571647324856247,1286.9707274650752,10.62480125720279,0.0,,,,981,60
Nikkei_225,42,10,GARCH,20.63680528414655,1289.610208613423,10.62847636189148,0.0,,,,981,60
Nikkei_225,42,21,GARCH,20.688534478886996,1291.1208146578958,10.628229653183842,0.0,,,,981,60
Nikkei_225,42,1,GJR-GARCH,23.978072874800752,1703.604067762312,10.65282202255082,0.0,,,,981,60
Nikkei_225,42,3,GJR-GARCH,23.95112773216504,1702.3983868647938,10.654088474224013,0.0,,,,981,60
Nikkei_225,42,5,GJR-GARCH,23.904471729145683,1699.6797505817244,10.655597766167594,0.0,,,,981,60
Nikkei_225,42,10,GJR-GARCH,23.99779462840451,1703.138602696746,10.659410027912076,0.0,,,,981,60
Nikkei_225,42,21,GJR-GARCH,23.987040013966578,1703.0922354195332,10.658974041530787,0.0,,,,981,60
Nikkei_225,42,1,FI-GARCH,22.088263193344243,1381.3639028446783,10.61608085083494,0.0,,,,981,60
Nikkei_225,42,3,FI-GARCH,22.107737326841423,1381.906365863387,10.617519216126613,0.0,,,,981,60
Nikkei_225,42,5,FI-GARCH,22.05866693559642,1380.5640166625658,10.61916769228748,0.0,,,,981,60
Nikkei_225,42,10,FI-GARCH,22.096219723849963,1381.9580139651448,10.622670345446604,0.0,,,,981,60
Nikkei_225,42,21,FI-GARCH,22.123921595002464,1382.4011697586675,10.622304049032822,0.0,,,,981,60
Nikkei_225,42,1,Autoformer,32.759523306890095,2854.2448416313027,10.766425988558497,0.0,,,,981,60
Nikkei_225,42,3,Autoformer,32.71501272577586,2852.3760871652053,10.767628966009115,0.0,,,,981,60
Nikkei_225,42,5,Autoformer,32.69497174439822,2850.746374852155,10.769352060318699,0.0,,,,981,60
Nikkei_225,42,10,Autoformer,32.67073734574649,2850.34416771607,10.772603353766593,0.0,,,,981,60
