Dataset,Seed,Horizon,Model,MAE,MSE,QLIKE,Violation_Rate,Kupiec_LR,Kupiec_p,LR_Ind,N_eval,Seq_len
snp500,42,1,GARCH,11.791735132093656,329.53333970314225,9.974386049934783,0.0,,,,846,60
snp500,42,3,GARCH,11.794271804709304,329.53145601463814,9.972786516190313,0.0,,,,846,60
snp500,42,5,GARCH,11.800824986385011,329.63022181997655,9.971285487632464,0.0,,,,846,60
snp500,42,10,GARCH,11.749280235503905,328.0616536058405,9.966613058637089,0.0,,,,846,60
snp500,42,21,GARCH,11.77856679240392,328.41171078411304,9.951495320375347,0.0,,,,846,60
snp500,42,1,GJR-GARCH,21.900994540139106,1098.316332774552,10.0863546402355,0.0,,,,846,60
snp500,42,3,GJR-GARCH,21.90803632902852,1098.4391471952297,10.084806765227716,0.0,,,,846,60
snp500,42,5,GJR-GARCH,21.937711919613747,1098.9882869451933,10.083457524878325,0.0,,,,846,60
snp500,42,10,GJR-GARCH,21.944255997474144,1098.7273702653551,10.079081803349665,0.0,,,,846,60
snp500,42,21,GJR-GARCH,21.456200398010512,1069.2613471920313,10.051674787280781,0.0,,,,846,60
snp500,42,1,FI-GARCH,14.200926645537633,472.9868038789461,9.996418136251133,0.0,,,,846,60
snp500,42,3,FI-GARCH,14.156093624471675,471.501714125043,9.994560193839309,0.0,,,,846,60
snp500,42,5,FI-GARCH,14.137536486147969,470.78792185345236,9.992948765819637,0.0,,,,846,60
snp500,42,10,FI-GARCH,14.117652804146436,469.89365860478136,9.98842747034062,0.0,,,,846,60
snp500,42,21,FI-GARCH,14.114189016662058,469.09011221852643,9.973055852081835,0.0,,,,846,60
snp500,42,1,Autoformer,26.211212256995672,1483.2845275876102,10.20203279215179,0.0,,,,846,60
snp500,42,3,Autoformer,26.23474682782511,1483.666868677469,10.20054888828288,0.0,,,,846,60
snp500,42,5,Autoformer,26.174612287239047,1480.2309350057078,10.198833988662164,0.0,,,,846,60
snp500,42,10,Autoformer,26.032601197347674,1472.7693193763853,10.193553293936299,0.0,,,,846,60
snp500,42,21,Autoformer,25.99789896402698,1471.1189346925464,10.178789729593525,0.0,,,,846,60
snp500,42,1,Informer,33.12338172598653,2120.9075348553056,10.317052203502264,0.0,,,,846,60
snp500,42,3,Informer,33.077853368092214,2119.229462648704,10.315142202664916,0.0,,,,846,60
snp500,42,5,Informer,33.05764299374943,2118.4285944686326,10.313447417765802,0.0,,,,846,60
snp500,42,10,Informer,33.04815582774868,2118.066966557243,10.308691378211106,0.0,,,,846,60
snp500,42,21,Informer,33.270822435473676,2130.524921771384,10.296314843581067,0.0,,,,846,60
snp500,42,1,Reformer,33.9608146887132,1852.941244670572,10.188228817228122,0.0,,,,846,60
snp500,42,3,Reformer,33.96181037643429,1852.8557480774311,10.186689378413401,0.0,,,,846,60
snp500,42,5,Reformer,33.931735336266634,1852.0148293757657,10.185597773132,0.0,,,,846,60
snp500,42,10,Reformer,33.89429171303412,1850.7246217643412,10.180908328919019,0.0,,,,846,60
snp500,42,21,Reformer,34.00193340248126,1857.4230231595657,10.166457341555308,0.0,,,,846,60
snp500,42,1,Transformer,32.037629154395724,2097.881120033821,10.326017091545664,0.0,,,,846,60
snp500,42,3,Transformer,31.97735156306199,2095.6604096299434,10.323982905569945,0.0,,,,846,60
snp500,42,5,Transformer,31.942364637279663,2094.355567709737,10.322177721772112,0.0,,,,846,60
snp500,42,10,Transformer,31.895853959153502,2092.512143255451,10.317110002267347,0.0,,,,846,60
snp500,42,21,Transformer,32.03712170053655,2100.693036255994,10.303922143657562,0.0,,,,846,60
snp500,42,1,GARCH-LSTM-Hybrid,27.72192463607009,1452.922197334449,10.174875480202708,0.0,,,,846,60
snp500,42,3,GARCH-LSTM-Hybrid,27.732567068877884,1453.031145014115,10.173780214441786,0.0,,,,846,60
snp500,42,5,GARCH-LSTM-Hybrid,27.779582416917346,1455.2079190917539,10.173696112092081,0.0,,,,846,60
snp500,42,10,GARCH-LSTM-Hybrid,27.750784653491834,1453.1998828808369,10.170053039590044,0.0,,,,846,60
snp500,42,21,GARCH-LSTM-Hybrid,27.67962036017486,1451.0748509619432,10.153494518267618,0.0,,,,846,60
snp500,123,1,GARCH,11.791735132093656,329.53333970314225,9.974386049934783,0.0,,,,846,60
snp500,123,3,GARCH,11.794271804709304,329.53145601463814,9.972786516190313,0.0,,,,846,60
