Dataset,Seed,Horizon,Model,MAE,MSE,QLIKE,Violation_Rate,Kupiec_LR,Kupiec_p,LR_Ind,N_eval,Seq_len
IBEX_35,42,1,GARCH,0.20721814057157592,0.08012540946018677,0.8772992128189461,0.05066079295154185,0.004156126179708508,0.9485975669026111,2.321365448438968,454,60
IBEX_35,42,1,GJR-GARCH,0.2206313073557307,0.11328406307866556,0.8955973747342273,0.046255506607929514,0.13730744188234212,0.71097258885749,3.1344310609315187,454,60
IBEX_35,42,1,FI-GARCH,0.18836820835757953,0.07312988896858776,0.8620253291154889,0.04405286343612335,0.35156119032058086,0.5532307058086621,3.60225656819955,454,60
IBEX_35,42,1,Autoformer,0.14518287760471205,0.03365592454562885,0.8187945106326823,0.048458149779735685,0.02294675635243948,0.8795956129697398,2.7084584659037603,454,60
IBEX_35,42,1,Informer,0.446597038706745,0.21072372099950112,1.05337187663908,0.01762114537444934,13.208649017789483,0.0002786601665427657,2.393163761282068,454,60
IBEX_35,42,1,Reformer,0.19660013368817966,0.06458821322307647,0.866349096991723,0.037444933920704845,1.6438469854680875,0.19979846254324973,5.295055127947336,454,60
IBEX_35,42,1,Transformer,0.48263750103816627,0.25090247083837247,1.0891520630101859,0.01762114537444934,13.208649017789483,0.0002786601665427657,2.393163761282068,454,60
IBEX_35,42,1,GARCH-LSTM-Hybrid,0.1559617694691959,0.06327088774231505,0.8273516073303807,0.046255506607929514,0.13730744188234212,0.71097258885749,0.0007861813676868223,454,60
IBEX_35,42,3,GARCH,0.8780164528541047,0.9319782312051657,1.4016756649525537,0.04424778761061947,0.3270059097372666,0.5674274584018579,27.197025759688245,452,60
IBEX_35,42,3,GJR-GARCH,0.8743158365324537,1.0358846653663094,1.388203180472156,0.048672566371681415,0.016910060440949337,0.8965358177550724,35.99286148531229,452,60
IBEX_35,42,3,FI-GARCH,0.8302463654337637,0.8445368976902212,1.3629503167129196,0.03982300884955752,1.0562896914139515,0.3040629483273327,24.653647898876244,452,60
IBEX_35,42,3,Autoformer,0.8597275317732038,0.8127113106103596,1.3704975833133677,0.03982300884955752,1.0562896914139515,0.3040629483273327,24.653647898876244,452,60
IBEX_35,42,3,Informer,1.334347252786132,1.8430729333717781,1.797781683769699,0.017699115044247787,13.074747331364705,0.0002993035903977592,33.83526464886908,452,60
