time,close,open,high,low,volume,return_1_day
2008-01-07,1115.59,1119.09,1128.34,1110.03,,-0.013913283398619747
2008-01-08,1124.93,1111.37,1125.67,1105.74,,0.008337398553559972
2008-01-09,1142.04,1112.4,1142.17,1105.75,,0.015095325391836667
2008-01-10,1123.5,1138.09,1140.31,1123.5,,-0.016367324246868264
2008-01-11,1104.76,1128.21,1129.18,1102.33,,-0.01682069583382262
2008-01-15,1085.15,1105.09,1109.19,1080.88,,-0.017909890524566485
2008-01-16,1047.63,1071.37,1072.2,1046.29,,-0.03518775615915892
2008-01-17,1069.82,1055.49,1072.64,1043.14,,0.020959939897756463
2008-01-18,1077.44,1054.62,1080.16,1036.47,,0.007097446967117449
2008-01-21,1039.06,1065.34,1066.28,1038.17,,-0.03627139870636853
2008-01-22,979.39,1024.08,1024.08,979.39,,-0.059141808383106564
2008-01-23,1003.42,992.66,1018.56,990.05,,0.024239515198690498
2008-01-24,1030.52,1012.24,1032.49,1012.24,,0.026649364114597063
2008-01-25,1079.47,1043.3,1079.9,1043.2,,0.046406650728355814
2008-01-28,1036.58,1067.28,1069.2,1034.33,,-0.040543347200664215
2008-01-29,1065.58,1049.43,1068.43,1048.96,,0.027592419117006273
2008-01-30,1058.91,1068.86,1073.8,1049.96,,-0.0062791746870081155
2008-01-31,1078.85,1048.38,1080.72,1039.19,,0.01865558183118221
2008-02-01,1071.03,1075.59,1086.66,1065.48,,-0.007274856725469903
2008-02-04,1093.49,1082.2,1097.47,1082.03,,0.020753613867666054
2008-02-05,1085.9,1090.38,1092.67,1078.91,,-0.0069652799047350555
2008-02-06,1040.13,1070.19,1070.59,1039.93,,-0.043063430899286104
2008-02-07,1045.88,1037.87,1048.09,1025.44,,0.005512930966794727
2008-02-08,1031.17,1042.02,1054.88,1029.74,,-0.014164556408203133
2008-02-12,1031.36,1029.19,1038.5,1020.58,,0.00018423974491188488
2008-02-13,1030.88,1042.07,1048.95,1029.51,,-0.00046551323674037803
2008-02-14,1068.98,1044.89,1069.26,1044.64,,0.03629211638579566
2008-02-15,1070.67,1060.96,1074.7,1051.72,,0.0015796979425992674
2008-02-18,1068.43,1070.53,1084.02,1068.07,,-0.002094339506117038
2008-02-19,1078.41,1078.32,1086.26,1073.07,,0.009297452899470926
2008-02-20,1044.03,1079.24,1079.41,1044.03,,-0.03239950945017345
2008-02-21,1069.32,1054.75,1077.3,1053.63,,0.02393470775072082
2008-02-22,1058.02,1057.69,1061.27,1048.06,,-0.010623695581371884
2008-02-25,1086.09,1065.81,1089.89,1065.48,,0.026184854157029314
2008-02-26,1081.0,1096.29,1098.81,1080.26,,-0.00469755234907776
2008-02-27,1094.22,1094.0,1101.14,1089.42,,0.012155242017588108
2008-02-28,1084.07,1082.89,1087.05,1074.74,,-0.0093193040963655
2008-02-29,1060.38,1071.08,1071.08,1052.94,,-0.022095142130670098
2008-03-03,1017.3,1046.22,1046.43,1017.3,,-0.041475275630058484
2008-03-04,1013.19,1021.79,1023.83,1005.94,,-0.004048289440587993
2008-03-05,1012.33,1011.75,1017.21,1006.35,,-0.0008491647099777566
2008-03-06,1030.88,1019.63,1041.35,1018.53,,0.018158201741195867
2008-03-07,998.18,1016.76,1016.76,995.2,,-0.03223446462046464
2008-03-10,980.21,992.66,998.65,978.77,,-0.018166786346868413
2008-03-11,988.69,970.0,989.94,961.95,,0.0086140001374444
2008-03-12,1005.08,1002.15,1024.06,1001.09,,0.01644158475471169
2008-03-13,972.82,996.06,996.06,964.33,,-0.03262334910406395
2008-03-14,954.95,977.31,979.99,947.46,,-0.018540087121928117
2008-03-17,918.89,942.39,944.11,911.26,,-0.03849256321853378
2008-03-18,930.38,919.95,932.07,916.94,,0.01242668497208399
2008-03-19,956.55,943.67,965.06,943.67,,0.02773995658667694
2008-03-21,975.03,962.21,976.15,960.11,,0.019135178325862867
2008-03-24,978.51,974.27,986.62,971.99,,0.0035627667527240447
2008-03-25,993.75,990.46,997.74,981.4,,0.015454659460564457
2008-03-26,989.27,985.77,992.34,980.09,,-0.004518368571010178
2008-03-27,979.74,981.72,982.66,972.53,,-0.00968006705525859
2008-03-28,993.64,980.3,998.08,970.32,,0.014087737675577472
2008-03-31,968.06,986.03,986.03,960.11,,-0.02608089919109524
2008-04-01,982.44,972.77,987.58,969.75,,0.014745204349601693
2008-04-02,1025.56,995.83,1025.58,995.83,,0.04295481066940532
2008-04-03,1040.48,1027.18,1040.48,1022.09,,0.014443340275079208
2008-04-04,1032.17,1033.43,1039.81,1027.67,,-0.008018762963442505
2008-04-07,1045.73,1030.07,1048.63,1027.85,,0.013051823952140218
2008-04-08,1027.1,1040.86,1042.5,1024.55,,-0.017975908937780893
2008-04-09,1011.17,1029.03,1031.6,1002.51,,-0.015631220940780288
2008-04-10,1000.07,1003.54,1009.46,993.71,,-0.01103807869872675
2008-04-11,1024.45,1006.26,1024.45,1003.71,,0.024085885660957373
2008-04-14,997.85,1010.31,1010.31,991.87,,-0.02630819777921456
2008-04-15,1005.95,999.65,1008.84,992.99,,0.008084683221251332
2008-04-16,1018.83,1015.59,1023.75,1014.28,,0.012722541444057711
2008-04-17,1036.53,1030.89,1046.72,1030.83,,0.017223685937731936
2008-04-18,1045.47,1039.08,1045.8,1029.92,,0.008587949035369746
2008-04-21,1068.83,1058.1,1070.78,1057.95,,0.02209804719832853
2008-04-22,1051.81,1059.04,1060.22,1050.13,,-0.016052102629751985
2008-04-23,1053.94,1043.02,1066.57,1041.71,,0.0020230328637751427
2008-04-24,1048.39,1057.28,1060.57,1047.57,,-0.005279868425138723
2008-04-25,1075.27,1054.56,1077.49,1054.31,,0.025316138756749318
2008-04-28,1093.27,1081.82,1099.88,1079.82,,0.016601412386620495
2008-04-30,1090.18,1084.33,1102.05,1080.23,,-0.0028303849988340346
2008-05-01,1080.06,1085.23,1091.34,1078.23,,-0.009326225073484906
2008-05-02,1105.67,1092.78,1106.54,1092.78,,0.02343489091611417
2008-05-07,1118.22,1116.04,1124.57,1111.39,,0.011286649273846372
2008-05-08,1100.16,1110.42,1111.83,1100.16,,-0.01628251156619953
2008-05-09,1074.95,1099.64,1100.75,1074.17,,-0.023181474902272292
2008-05-12,1075.59,1066.48,1077.86,1063.42,,0.0005951993628512398
2008-05-13,1090.15,1082.79,1093.86,1077.39,,0.013445953219048512
2008-05-14,1099.39,1089.86,1101.79,1081.71,,0.008440179080660748
2008-05-15,1115.1,1106.59,1124.3,1106.59,,0.014188606456598585
2008-05-16,1118.1,1124.88,1130.96,1114.13,,0.0026867291820060757
2008-05-19,1124.77,1121.57,1129.4,1118.56,,0.005947754139139505
2008-05-20,1120.92,1123.16,1129.65,1115.8,,-0.0034287936197046065
2008-05-21,1096.44,1108.63,1109.29,1088.86,,-0.022081208874228153
2008-05-22,1104.19,1084.72,1104.19,1075.15,,0.007043466680030974
2008-05-23,1101.85,1101.99,1116.68,1098.54,,-0.002121449182794777
2008-05-26,1075.42,1090.94,1091.78,1075.41,,-0.02427930236204645
