time,close,open,high,low,volume,return_1_day
2008-01-03,14856.5,14966.1,15016.4,14769.6,335.70M,-0.009779373962381044
2008-01-04,14602.3,14794.3,14867.1,14511.0,330.45M,-0.017258429365499595
2008-01-07,14667.0,14551.7,14701.5,14529.5,280.83M,0.004421021710967921
2008-01-08,14670.5,14707.3,14808.8,14670.5,318.34M,0.00023860247237195154
2008-01-09,14603.5,14577.9,14665.1,14471.2,338.57M,-0.004577448724994326
2008-01-10,14524.0,14672.4,14684.9,14480.1,320.16M,-0.005458772459906669
2008-01-11,14458.0,14501.9,14568.7,14428.7,296.44M,-0.004554558973984157
2008-01-14,14431.9,14398.0,14540.9,14343.4,261.31M,-0.0018068603284060458
2008-01-15,13945.2,14362.9,14394.9,13945.2,353.98M,-0.03430567121500694
2008-01-16,13817.1,13806.3,14054.8,13687.6,497.91M,-0.009228407525251114
2008-01-17,13775.6,13981.7,13995.0,13731.2,317.89M,-0.0030080442502651294
2008-01-18,13655.4,13740.1,13997.4,13608.2,410.00M,-0.008763863463389754
2008-01-21,12625.8,13477.1,13494.4,12625.8,545.25M,-0.07839270830529088
2008-01-22,12839.7,12509.3,12909.2,11937.2,551.52M,0.016799594012384844
2008-01-23,12254.6,13020.0,13038.1,12164.1,488.27M,-0.04664055679437418
2008-01-24,13106.7,12556.6,13106.7,12490.6,463.64M,0.06722217313411072
2008-01-25,13141.1,13295.5,13491.0,13100.4,378.55M,0.00262117356087721
2008-01-28,13026.7,12880.3,13080.1,12813.1,264.81M,-0.00874362604666068
2008-01-29,13246.6,13120.9,13309.0,13050.3,297.28M,0.016739818373432414
2008-01-30,13217.1,13185.1,13381.3,13117.7,293.32M,-0.002229469969750042
2008-01-31,13229.0,13281.5,13338.5,12958.3,401.06M,0.0008999437197285687
2008-02-01,13494.7,13440.7,13550.0,13320.4,348.20M,0.01988562628690005
2008-02-04,13515.7,13608.3,13652.1,13476.5,296.30M,0.0015549569226145366
2008-02-05,12814.7,13464.1,13466.3,12781.5,393.76M,-0.053259023214073054
2008-02-06,13037.3,12739.4,13084.9,12721.4,362.51M,0.017221530369207372
2008-02-07,12889.5,13010.7,13060.5,12724.3,337.06M,-0.011401453405643025
2008-02-08,12934.8,12964.5,13068.1,12768.7,271.38M,0.0035083271541953565
2008-02-11,12818.8,12830.1,13029.2,12774.1,229.84M,-0.009008510226173883
2008-02-12,13254.7,12926.7,13254.7,12808.7,305.42M,0.03343936314889717
2008-02-13,13266.7,13137.1,13342.1,13095.8,290.46M,0.0009049296657721584
2008-02-14,13313.2,13420.7,13455.9,13252.0,270.40M,0.003498888064934036
2008-02-15,13073.9,13292.9,13381.5,12979.7,343.54M,-0.018138147854136477
2008-02-18,13312.2,13155.5,13347.2,13147.4,194.91M,0.018063031611717406
2008-02-19,13269.7,13260.0,13393.0,13044.0,272.72M,-0.0031976673009683765
2008-02-20,13080.4,13096.8,13138.9,12998.2,298.02M,-0.014368314102268798
2008-02-21,13173.0,13150.7,13288.1,13116.2,220.06M,0.007054353646472222
2008-02-22,13017.5,13055.4,13155.3,12960.9,258.14M,-0.011874674192773327
2008-02-25,13156.6,13141.8,13180.3,12995.4,233.70M,0.010628927799290366
2008-02-26,13436.6,13222.4,13444.7,13182.4,263.90M,0.02105879304644631
2008-02-27,13454.3,13461.2,13505.5,13255.4,261.43M,0.0013164306554376282
2008-02-28,13272.1,13398.6,13439.5,13272.1,307.16M,-0.013634670036900332
2008-02-29,13170.4,13204.0,13306.0,13055.8,377.77M,-0.007692200167516816
2008-03-03,12862.5,12998.0,13020.7,12829.5,277.49M,-0.023655786191506323
2008-03-04,12630.1,12913.1,12957.0,12584.8,281.94M,-0.018233247172739553
2008-03-05,12948.1,12731.8,12968.7,12682.5,273.46M,0.024866205247240813
2008-03-06,12803.3,12981.8,12993.7,12746.5,283.14M,-0.011246109037029939
2008-03-07,12691.3,12673.6,12818.7,12583.5,312.12M,-0.008786230849855414
2008-03-10,12655.0,12673.0,12835.2,12571.4,290.18M,-0.0028643253506963617
2008-03-11,13056.1,12743.7,13138.0,12713.2,361.47M,0.031203063509057216
2008-03-12,13131.3,13272.3,13291.6,13080.3,298.68M,0.005743235808393976
2008-03-13,13073.2,12925.8,13106.2,12848.8,338.56M,-0.004434360144580651
2008-03-14,13021.4,13088.7,13312.5,12905.3,291.83M,-0.003970175288415589
2008-03-17,12656.0,12678.1,12871.9,12638.4,324.51M,-0.028462746856243726
2008-03-18,13030.5,12891.6,13037.0,12780.1,273.20M,0.029161352360649317
2008-03-19,12964.7,13152.1,13196.0,12874.3,308.88M,-0.005062483884016089
2008-03-20,12964.2,12840.2,13048.6,12790.2,413.50M,-3.8567004390088755e-05
2008-03-25,13434.2,13370.4,13434.2,13304.9,329.78M,0.03561198183494163
2008-03-26,13403.0,13377.8,13426.6,13299.9,255.31M,-0.002325131836123262
2008-03-27,13537.9,13357.5,13596.4,13355.0,253.70M,0.010014596947321763
2008-03-28,13442.4,13556.9,13578.5,13413.4,217.51M,-0.007079268862087318
2008-03-31,13269.0,13359.3,13370.3,13181.1,256.06M,-0.012983403027295282
2008-04-01,13699.1,13205.6,13699.1,13194.0,284.85M,0.031899649691215615
2008-04-02,13838.7,13782.9,13841.5,13692.5,259.32M,0.010138877896411103
2008-04-03,13738.9,13839.5,13844.7,13619.9,239.89M,-0.007237789776716852
2008-04-04,13846.4,13777.4,13846.4,13695.3,333.80M,0.007794045683219508
2008-04-07,13919.6,13906.7,14019.6,13863.0,205.20M,0.00527264781278447
2008-04-08,13759.4,13861.2,13862.6,13675.0,190.09M,-0.011575691957888878
2008-04-09,13599.0,13692.0,13734.5,13579.1,208.21M,-0.011725966276502575
